Performance Statistics   2017-10-25 21:02:00 - 2017-10-25 21:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
Performance Statistics   2017-10-25 21:50:00 - 2017-10-25 21:52:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-10-25 21:52:00 - 2017-10-25 21:54:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-10-25 21:54:00 - 2017-10-25 21:56:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
inspectionrecord$InspectionRecord.browse#init            0.0           0           0         0.0           1
inspectionrecord$InspectionRecord.browse#inject          1.0           1           1         0.0           1
inspectionrecord$InspectionRecord.browse#load           47.0          47          47         0.0           1
inspectionrecord$InspectionRecord.browse#ready           0.0           0           0         0.0           1
inspectionrecord$InspectionRecord.browse#uiPermissions         0.0           0           0         0.0           1
inspectionrecord$InspectionRecord.browse#xml             0.0           0           0         0.0           1
inspectionrecord$InspectionRecord.browse@inspectionRecordsDs       154.0         154         154         0.0           1

Performance Statistics   2017-10-25 21:56:00 - 2017-10-25 21:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-10-25 21:58:00 - 2017-10-25 22:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2017-10-25 22:00:00 - 2017-10-25 22:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
sec$UserSessionEntity.browse#init                        0.0           0           0         0.0           1
sec$UserSessionEntity.browse#inject                      0.0           0           0         0.0           1
sec$UserSessionEntity.browse#load                     1141.0        1141        1141         0.0           1
sec$UserSessionEntity.browse#uiPermissions               0.0           0           0         0.0           1
sec$UserSessionEntity.browse#xml                       264.0         264         264         0.0           1

Performance Statistics   2017-10-25 22:02:00 - 2017-10-25 22:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
appProperties#init                                      33.0          33          33         0.0           1
appProperties#inject                                     0.0           0           0         0.0           1
appProperties#load                                     314.0         314         314         0.0           1
appProperties#ready                                      0.0           0           0         0.0           1
appProperties#uiPermissions                              0.0           0           0         0.0           1
appProperties#xml                                        0.0           0           0         0.0           1
appPropertyEditor#init                                   1.0           1           1         0.0           1
appPropertyEditor#inject                                 0.0           0           0         0.0           1
appPropertyEditor#load                                  38.0          38          38         0.0           1
appPropertyEditor#ready                                  0.0           0           0         0.0           1
appPropertyEditor#uiPermissions                          0.0           0           0         0.0           1
appPropertyEditor#xml                                    0.0           0           0         0.0           1
entityInspector.browse#companion                        10.0           1          19         9.0           2
entityInspector.browse#init                            127.0          64         190        63.0           2
entityInspector.browse#inject                            0.0           0           0         0.0           2
entityInspector.browse#load                             63.5           4         123        59.5           2
entityInspector.browse#ready                             0.0           0           0         0.0           2
entityInspector.browse#uiPermissions                     0.0           0           0         0.0           2
entityInspector.browse#xml                               0.0           0           0         0.0           2
entityInspector.browse@entitiesDs                       66.1           7         178        74.8           9
entityInspector.edit#init                               63.0          63          63         0.0           1
entityInspector.edit#inject                              0.0           0           0         0.0           1
entityInspector.edit#load                               67.0          67          67         0.0           1
entityInspector.edit#ready                               0.0           0           0         0.0           1
entityInspector.edit#uiPermissions                       0.0           0           0         0.0           1
entityInspector.edit#xml                                 0.0           0           0         0.0           1
sec$Group.browse#init                                  154.0         154         154         0.0           1
sec$Group.browse#inject                                  3.0           3           3         0.0           1
sec$Group.browse#load                                  425.0         425         425         0.0           1
sec$Group.browse#ready                                   0.0           0           0         0.0           1
sec$Group.browse#uiPermissions                           0.0           0           0         0.0           1
sec$Group.browse#xml                                     0.0           0           0         0.0           1
sec$Group.browse@attributesDs                           17.0          16          18         1.0           2
sec$Group.browse@constraintsDs                          11.0           9          13         2.0           2
sec$Group.browse@groupsDs                               10.0          10          10         0.0           1
sec$Group.browse@usersDs                                29.0          29          29         0.0           1
sec$User.browse#companion                               46.0          46          46         0.0           1
sec$User.browse#init                                    47.0          47          47         0.0           1
sec$User.browse#inject                                   0.0           0           0         0.0           1
sec$User.browse#load                                   100.0         100         100         0.0           1
sec$User.browse#ready                                    0.0           0           0         0.0           1
sec$User.browse#uiPermissions                            0.0           0           0         0.0           1
sec$User.browse#xml                                      4.0           4           4         0.0           1
sec$User.browse@usersDs                                 19.0          19          19         0.0           1
sec$User.edit#companion                                  5.0           5           5         0.0           1
sec$User.edit#init                                      88.0          88          88         0.0           1
sec$User.edit#inject                                     0.5           0           1         0.5           2
sec$User.edit#load                                     168.0         168         168         0.0           1
sec$User.edit#ready                                      0.0           0           0         0.0           1
sec$User.edit#setItem                                   70.0          70          70         0.0           1
sec$User.edit#uiPermissions                              0.0           0           0         0.0           1
sec$User.edit#xml                                        0.0           0           0         0.0           1
sec$User.edit.windowActions#load                        26.0          26          26         0.0           1
