Performance Statistics   2017-10-25 21:02:00 - 2017-10-25 21:03:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
PersistenceSecurity.restoreFilteredData(..)              0.0           0           0         0.0           2
QueryParser.getEntityAlias()                             0.0           0           0         0.0          11
QueryParser.getEntityName()                              0.1           0           2         0.4          59
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          36
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          36
QueryParser.getParamNames()                              0.0           0           1         0.1          59
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0          20
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          27

Performance Statistics   2017-10-25 21:32:00 - 2017-10-25 21:33:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0          10
MenuItem.inspectionrecord$DefectType.browse            170.0         169         171         1.0           2
MenuItem.inspectionrecord$Employee.browse              175.0         175         175         0.0           1
PersistenceSecurity.applyConstraints(..)                 0.2           0           2         0.5          31
PersistenceSecurity.restoreFilteredData(..)              0.0           0           0         0.0           1
QueryParser.getEntityAlias()                             0.0           0           0         0.0          20
QueryParser.getEntityName()                              0.0           0           1         0.2          75
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          44
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          44
QueryParser.getParamNames()                              0.0           0           0         0.0          75
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0          28
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          32

Performance Statistics   2017-10-25 21:33:00 - 2017-10-25 21:34:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0           2
MenuItem.inspectionrecord$DefectType.browse            178.0         178         178         0.0           1
PersistenceSecurity.applyConstraints(..)                 0.0           0           0         0.0          13
PersistenceSecurity.restoreFilteredData(..)              0.0           0           0         0.0           1
QueryParser.getEntityAlias()                             0.0           0           0         0.0          12
QueryParser.getEntityName()                              0.0           0           0         0.0          33
QueryParser.getEntityNameIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          20
QueryParser.getEntityPathIfSecondaryReturnedInsteadOfMain()         0.0           0           0         0.0          20
QueryParser.getParamNames()                              0.0           0           0         0.0          33
QueryParser.hasIsNullCondition(..)                       0.0           0           0         0.0          17
Security.isEntityOpPermitted(..)                         0.0           0           0         0.0          14

Performance Statistics   2017-10-25 21:34:00 - 2017-10-25 21:35:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
LoadClass                                                0.0           0           0         0.0           4
